2022-11-28 15:56:21.207 [main.py] INFO    | 進入VG主頁
2022-11-28 15:56:25.061 [wearing_api.py] INFO    | 穿戴: subprocess啟動
2022-11-28 15:56:35.265 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入中...
2022-11-28 15:56:54.082 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化辨識完成
2022-11-28 15:56:54.085 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化成功
2022-11-28 15:56:54.085 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入成功
2022-11-28 15:56:57.752 [wearing_api.py] INFO    | 穿戴: yolo_detector初始化完成
2022-11-28 15:56:58.636 [wearing_api.py] INFO    | 穿戴: 進入辨識頁
2022-11-28 15:57:02.362 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:02.633 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:02.845 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:03.049 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:03.445 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:03.811 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:04.186 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:04.399 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:04.590 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:04.912 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:05.102 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:05.480 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:05.666 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:05.847 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:06.031 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:06.218 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:06.393 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:06.568 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:06.747 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:06.930 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:07.133 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:07.320 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:07.511 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:07.698 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:07.910 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:08.085 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:08.265 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:08.444 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:08.629 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:08.825 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:09.004 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:09.191 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:09.390 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:09.575 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:09.761 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:09.947 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:10.127 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:10.312 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:10.493 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:10.671 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:10.859 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:11.063 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:11.260 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:11.460 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 15:57:11.671 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:04:44.204 [main.py] INFO    | 進入VG主頁
2022-11-28 16:04:48.996 [wearing_api.py] INFO    | 穿戴: subprocess啟動
2022-11-28 16:04:57.489 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入中...
2022-11-28 16:05:13.926 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化辨識完成
2022-11-28 16:05:13.955 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化成功
2022-11-28 16:05:13.956 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入成功
2022-11-28 16:05:17.901 [wearing_api.py] INFO    | 穿戴: yolo_detector初始化完成
2022-11-28 16:05:18.474 [wearing_api.py] INFO    | 穿戴: 進入辨識頁
2022-11-28 16:06:48.592 [main.py] INFO    | 進入VG主頁
2022-11-28 16:06:51.401 [wearing_api.py] INFO    | 穿戴: subprocess啟動
2022-11-28 16:07:00.057 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入中...
2022-11-28 16:07:14.055 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化辨識完成
2022-11-28 16:07:14.061 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化成功
2022-11-28 16:07:14.062 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入成功
2022-11-28 16:07:16.198 [wearing_api.py] INFO    | 穿戴: yolo_detector初始化完成
2022-11-28 16:07:16.960 [wearing_api.py] INFO    | 穿戴: 進入辨識頁
2022-11-28 16:07:37.114 [wearing_api.py] INFO    | 穿戴: 進入設定頁
2022-11-28 16:07:41.111 [wearing_api.py] INFO    | 進入模型訓練頁
2022-11-28 16:07:43.193 [wearing_api.py] INFO    | 穿戴: 前端要取有裝備、無裝備的照片張數
2022-11-28 16:07:47.925 [wearing_api.py] INFO    | 穿戴: 開始使用攝影機收集訓練照片
2022-11-28 16:07:48.161 [wearing_api.py] INFO    | 穿戴: 收到[START_COLLECT]的signal
2022-11-28 16:11:00.750 [main.py] INFO    | 進入VG主頁
2022-11-28 16:11:03.180 [wearing_api.py] INFO    | 穿戴: subprocess啟動
2022-11-28 16:11:11.849 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入中...
2022-11-28 16:11:27.190 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化辨識完成
2022-11-28 16:11:27.202 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化成功
2022-11-28 16:11:27.202 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入成功
2022-11-28 16:11:33.027 [wearing_api.py] INFO    | 穿戴: yolo_detector初始化完成
2022-11-28 16:11:34.037 [wearing_api.py] INFO    | 穿戴: 進入辨識頁
2022-11-28 16:11:37.200 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:37.440 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:37.638 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:37.854 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:38.058 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:38.227 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:38.401 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:38.574 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:38.736 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:38.897 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:39.053 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:39.214 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:39.374 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:39.550 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:39.715 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:39.879 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:40.066 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:40.096 [wearing_api.py] INFO    | 穿戴: 進入設定頁
2022-11-28 16:11:40.292 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:11:43.607 [wearing_api.py] INFO    | 進入模型訓練頁
2022-11-28 16:11:44.988 [wearing_api.py] INFO    | 穿戴: 前端要取有裝備、無裝備的照片張數
2022-11-28 16:11:47.868 [wearing_api.py] INFO    | 穿戴: 開始使用攝影機收集訓練照片
2022-11-28 16:11:47.871 [wearing_api.py] INFO    | 穿戴: 收到[START_COLLECT]的signal
2022-11-28 16:12:11.277 [wearing_api.py] INFO    | 穿戴: 停止收集資料
2022-11-28 16:12:11.284 [wearing_api.py] INFO    | 穿戴: 收到[END_COLLECT]的signal
2022-11-28 16:12:11.286 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入中...
2022-11-28 16:12:11.357 [wearing_api.py] INFO    | 穿戴: 前端要取有裝備、無裝備的收集資料
2022-11-28 16:12:13.066 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化辨識完成
2022-11-28 16:12:13.079 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化成功
2022-11-28 16:12:13.079 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入成功
2022-11-28 16:12:24.565 [wearing_api.py] INFO    | 穿戴: 開始使用攝影機收集訓練照片
2022-11-28 16:12:24.568 [wearing_api.py] INFO    | 穿戴: 收到[START_COLLECT]的signal
2022-11-28 16:12:37.595 [wearing_api.py] INFO    | 穿戴: 開始使用攝影機收集訓練照片
2022-11-28 16:12:37.598 [wearing_api.py] INFO    | 穿戴: 收到[START_COLLECT]的signal
2022-11-28 16:12:41.599 [wearing_api.py] INFO    | 穿戴: 停止收集資料
2022-11-28 16:12:41.601 [wearing_api.py] INFO    | 穿戴: 收到[END_COLLECT]的signal
2022-11-28 16:12:41.602 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入中...
2022-11-28 16:12:41.607 [wearing_api.py] INFO    | 穿戴: 前端要取有裝備、無裝備的收集資料
2022-11-28 16:12:41.613 [wearing_api.py] INFO    | 穿戴: 前端要取有裝備、無裝備的收集資料
2022-11-28 16:12:42.446 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化辨識完成
2022-11-28 16:12:42.451 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化成功
2022-11-28 16:12:42.453 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入成功
2022-11-28 16:12:46.709 [wearing_api.py] INFO    | 穿戴: 開始使用攝影機收集訓練照片
2022-11-28 16:12:46.710 [wearing_api.py] INFO    | 穿戴: 收到[START_COLLECT]的signal
2022-11-28 16:13:21.616 [wearing_api.py] INFO    | 穿戴: 停止收集資料
2022-11-28 16:13:21.617 [wearing_api.py] INFO    | 穿戴: 收到[END_COLLECT]的signal
2022-11-28 16:13:21.619 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入中...
2022-11-28 16:13:21.711 [wearing_api.py] INFO    | 穿戴: 前端要取有裝備、無裝備的收集資料
2022-11-28 16:13:22.569 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化辨識完成
2022-11-28 16:13:22.578 [wearing_detector_torch.py] INFO    | 穿戴:MergePredictor初始化成功
2022-11-28 16:13:22.579 [wearing_detector_torch.py] INFO    | 穿戴:config初始載入成功
2022-11-28 16:13:38.805 [wearing_api.py] INFO    | 穿戴: 進入設定頁
2022-11-28 16:13:40.497 [wearing_api.py] INFO    | 穿戴: 進入模型優化頁
2022-11-28 16:13:41.864 [wearing_api.py] INFO    | 穿戴: 前端要取有裝備、無裝備資料
2022-11-28 16:13:45.163 [wearing_api.py] INFO    | 穿戴: 進入辨識頁
2022-11-28 16:13:45.794 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:45.971 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:46.147 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:46.319 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:46.480 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:46.642 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:46.802 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:46.968 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:47.138 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:47.301 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:48.322 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:48.645 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:48.966 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:49.283 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
2022-11-28 16:13:49.616 [main.py] ERROR   | main:cannot get result_queue, name 'ProcessVar' is not defined
