2022-10-20 10:37:45.916 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 10:37:55.514 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 10:38:09.201 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 10:38:30.879 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-10-20 10:38:30.880 [main.py] INFO    | 關閉成功
2022-10-20 10:38:30.902 [main.py] INFO    | 進入VG主頁
2022-10-20 10:38:31.522 [main.py] INFO    | 進入VG主頁
2022-10-20 10:38:36.160 [main.py] INFO    | 進入VG主頁
2022-10-20 10:38:37.577 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 10:38:47.104 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 10:39:00.210 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 10:39:43.314 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-10-20 10:39:43.329 [main.py] INFO    | 關閉成功
2022-10-20 10:39:43.374 [main.py] INFO    | 進入VG主頁
2022-10-20 10:39:50.430 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 10:40:00.122 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 10:40:14.754 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 10:40:55.850 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-10-20 10:40:55.851 [main.py] INFO    | 關閉成功
2022-10-20 10:40:55.873 [main.py] INFO    | 進入VG主頁
2022-10-20 10:40:57.574 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 10:41:07.598 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 10:41:21.416 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 10:48:12.508 [main.py] INFO    | 進入VG主頁
2022-10-20 10:48:14.424 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 10:48:23.286 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 10:48:36.909 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 10:54:50.284 [main.py] INFO    | 進入VG主頁
2022-10-20 10:54:52.975 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 10:55:02.964 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 10:55:16.761 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 10:59:08.528 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-10-20 10:59:08.535 [main.py] INFO    | 關閉成功
2022-10-20 10:59:08.559 [main.py] INFO    | 進入VG主頁
2022-10-20 10:59:59.634 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 11:00:11.710 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:00:25.332 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 11:04:52.998 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:05:10.667 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:05:13.051 [main.py] INFO    | 進入VG主頁
2022-10-20 11:05:15.754 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 11:05:16.035 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:05:41.021 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 11:05:41.702 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 11:06:58.611 [main.py] INFO    | 進入VG主頁
2022-10-20 11:07:00.459 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 11:07:10.114 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:07:25.346 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 11:13:32.228 [main.py] INFO    | 進入VG主頁
2022-10-20 11:13:34.537 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 11:13:44.946 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:13:59.645 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 11:30:18.681 [main.py] INFO    | 進入VG主頁
2022-10-20 11:30:23.284 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 11:30:33.618 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:30:48.028 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 11:34:46.878 [main.py] INFO    | 進入VG主頁
2022-10-20 11:34:53.347 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 11:35:03.642 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:35:18.128 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 11:38:17.052 [main.py] INFO    | 進入VG主頁
2022-10-20 11:38:19.116 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 11:38:29.240 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 11:38:43.107 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 12:02:39.559 [main.py] INFO    | 進入VG主頁
2022-10-20 12:02:42.248 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 12:02:52.567 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 12:03:05.951 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-10-20 13:14:01.592 [main.py] INFO    | 進入VG主頁
2022-10-20 13:14:04.372 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-20 13:14:15.293 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-20 13:14:30.352 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
