2023-01-31 09:40:22.745 [main.py] INFO    | 進入VG主頁
2023-01-31 09:43:07.605 [main.py] INFO    | 進入VG主頁
2023-01-31 09:43:11.058 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-01-31 09:43:13.684 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 09:47:13.302 [main.py] INFO    | 進入VG主頁
2023-01-31 09:47:16.069 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2023-01-31 09:47:28.464 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2023-01-31 09:48:21.015 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2023-01-31 09:48:21.146 [main.py] INFO    | 關閉成功
2023-01-31 09:48:21.552 [main.py] INFO    | 進入VG主頁
2023-01-31 09:48:42.962 [main.py] INFO    | 進入VG主頁
2023-01-31 09:48:45.832 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-01-31 09:48:48.887 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 09:50:36.512 [face_api.py] INFO    | 進入人臉註冊頁
2023-01-31 09:50:44.955 [face_api.py] INFO    | 進入人臉註冊頁
2023-01-31 09:50:51.754 [face_api.py] INFO    | 進入人臉模型訓練頁
2023-01-31 09:50:56.020 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 09:51:56.571 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 09:52:08.955 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2023-01-31 09:52:08.956 [main.py] ERROR   | main:terminate current subprocess failed, 'Thread' object has no attribute 'terminate'
2023-01-31 09:52:08.978 [main.py] INFO    | 進入VG主頁
2023-01-31 09:52:09.853 [main.py] INFO    | 進入VG主頁
2023-01-31 09:52:11.407 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-01-31 09:52:12.226 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 09:53:11.326 [face_api.py] INFO    | 進入人臉模型訓練頁
2023-01-31 09:53:13.955 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 09:54:04.050 [face_api.py] INFO    | 進入人臉管制(IO)登入頁
2023-01-31 09:54:06.231 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 09:54:08.512 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2023-01-31 09:54:08.515 [main.py] ERROR   | main:terminate current subprocess failed, 'Thread' object has no attribute 'terminate'
2023-01-31 09:54:08.535 [main.py] INFO    | 進入VG主頁
2023-01-31 09:54:09.350 [main.py] INFO    | 進入VG主頁
2023-01-31 09:54:32.205 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-01-31 09:54:33.242 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 10:03:08.577 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2023-01-31 10:03:08.577 [main.py] ERROR   | main:terminate current subprocess failed, 'Thread' object has no attribute 'terminate'
2023-01-31 10:03:08.593 [main.py] INFO    | 進入VG主頁
2023-01-31 10:03:09.515 [main.py] INFO    | 進入VG主頁
2023-01-31 10:03:17.267 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-01-31 10:03:18.461 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 10:03:58.630 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2023-01-31 10:03:58.634 [main.py] ERROR   | main:terminate current subprocess failed, 'Thread' object has no attribute 'terminate'
2023-01-31 10:03:58.655 [main.py] INFO    | 進入VG主頁
2023-01-31 10:06:17.336 [main.py] INFO    | 進入VG主頁
2023-01-31 10:06:20.570 [face_backend.py] INFO    | 人臉: subprocess啟動
2023-01-31 10:06:21.559 [face_api.py] INFO    | 進入人臉管制(UI)登入頁
2023-01-31 10:06:31.253 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
