2022-11-09 13:16:36.731 [main.py] INFO    | 進入VG主頁
2022-11-09 13:19:47.993 [main.py] INFO    | 進入VG主頁
2022-11-09 13:19:51.638 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-11-09 13:20:00.241 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-11-09 13:20:08.072 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-11-09 13:20:08.080 [main.py] INFO    | 關閉成功
2022-11-09 13:20:08.176 [main.py] INFO    | 進入VG主頁
2022-11-09 13:20:08.624 [main.py] INFO    | 進入VG主頁
2022-11-09 13:20:15.161 [main.py] INFO    | 進入VG主頁
2022-11-09 13:20:21.211 [main.py] INFO    | 進入VG主頁
2022-11-09 13:20:22.351 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-11-09 13:20:30.746 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-11-09 13:20:44.958 [vf_backend.py] INFO    | 測距/物件:收到[CHANGE_DETECT_MODE]的signal
2022-11-09 13:20:54.376 [vf_backend.py] INFO    | 測距/物件:收到[SETTING_PAGE_ON]的signal
2022-11-09 13:21:10.330 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-11-09 13:21:10.334 [main.py] INFO    | 關閉成功
2022-11-09 13:21:10.358 [main.py] INFO    | 進入VG主頁
2022-11-09 13:27:41.314 [main.py] INFO    | 進入VG主頁
2022-11-09 13:41:26.378 [main.py] INFO    | 進入VG主頁
2022-11-09 15:21:25.049 [main.py] INFO    | 進入VG主頁
2022-11-09 15:21:53.158 [main.py] INFO    | 進入VG主頁
2022-11-09 15:30:48.419 [main.py] INFO    | 進入VG主頁
2022-11-09 16:29:57.764 [main.py] INFO    | 進入VG主頁
