2022-10-19 16:20:23.175 [main.py] INFO    | 進入VG主頁
2022-10-19 17:35:02.838 [main.py] INFO    | 進入VG主頁
2022-10-19 17:35:04.462 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-19 17:35:04.568 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
2022-10-19 17:36:02.861 [main.py] INFO    | 有正在執行的子系統，嘗試關閉中...
2022-10-19 17:36:02.861 [main.py] INFO    | 關閉成功
2022-10-19 17:36:02.870 [main.py] INFO    | 進入VG主頁
2022-10-19 17:36:03.477 [main.py] INFO    | 進入VG主頁
2022-10-19 17:36:07.863 [main.py] INFO    | 進入VG主頁
2022-10-19 17:44:20.099 [main.py] INFO    | 進入VG主頁
2022-10-19 17:44:21.911 [vf_api.py] INFO    | 測距/物件: subprocess啟動
2022-10-19 17:44:22.027 [vf_api.py] INFO    | 測距/物件:進入測距監控系統
